@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-770,780-795'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute MSAEGY numeric
@attribute MSAGLF numeric
@attribute MSALAV numeric
@attribute MSANOR numeric

@data
EGY,0,23,5,6,11,56,51,53,51
EGY,1,15,6,7,5,44,41,40,41
EGY,3,25,5,4,8,84,81,77,78
EGY,2,24,8,8,7,31,27,30,27
EGY,2,6,1,2,0,24,22,22,19
EGY,1,15,3,4,4,46,45,43,42
EGY,4,13,6,5,4,48,46,47,43
EGY,1,8,1,2,3,20,18,18,18
EGY,0,10,3,3,2,50,45,42,42
EGY,0,10,4,7,4,30,30,29,27
EGY,2,5,1,2,3,24,24,23,22
EGY,0,5,3,1,1,28,27,27,27
EGY,0,27,6,8,7,69,60,66,63
EGY,0,6,4,4,4,15,15,14,15
EGY,2,34,12,11,13,127,117,113,115
EGY,0,7,0,0,1,16,15,14,15
EGY,3,17,5,6,3,82,76,75,68
EGY,0,14,5,3,3,15,14,14,14
EGY,4,9,2,2,1,41,39,40,36
EGY,0,13,4,2,2,30,29,29,27
EGY,6,222,99,54,81,440,407,421,370
EGY,1,15,4,5,3,47,44,44,44
EGY,4,25,10,8,8,123,115,117,105
EGY,0,10,6,6,5,15,13,14,14
EGY,3,49,27,17,18,129,121,119,109
EGY,1,13,6,6,6,29,25,24,25
EGY,1,12,5,6,4,28,25,26,28
EGY,0,9,1,6,4,21,20,20,20
EGY,6,17,5,8,6,80,78,72,73
EGY,4,11,0,5,3,29,28,27,27
EGY,1,10,5,4,3,30,28,29,25
EGY,3,8,2,4,2,32,31,30,30
EGY,2,20,6,3,6,81,73,77,74
EGY,2,6,4,2,1,50,48,47,47
EGY,0,13,4,4,1,42,36,37,35
EGY,0,20,8,8,6,27,23,26,22
EGY,0,8,2,2,1,28,25,25,24
EGY,1,6,4,3,4,28,24,24,22
EGY,0,8,5,6,5,21,20,20,20
EGY,6,30,13,14,12,103,90,96,97
EGY,0,11,4,2,4,20,17,16,19
EGY,2,15,4,5,4,43,43,41,42
EGY,1,12,0,2,2,30,29,26,28
EGY,0,8,3,5,4,11,9,11,8
EGY,1,17,5,8,3,51,49,49,48
EGY,2,23,2,3,6,24,24,24,23
EGY,2,11,0,5,3,20,19,20,19
EGY,0,16,9,11,9,30,30,27,26
EGY,0,12,5,2,2,17,17,17,15
EGY,2,6,2,1,3,16,16,15,14
EGY,0,18,4,7,4,34,32,32,31
EGY,0,20,9,8,11,52,51,49,47
EGY,4,43,22,29,22,149,139,142,139
EGY,1,5,3,1,2,17,15,16,16
EGY,2,39,18,18,16,78,73,72,68
EGY,0,20,9,7,7,48,47,47,46
EGY,0,11,4,2,3,30,29,29,30
EGY,0,10,3,2,3,12,12,12,12
EGY,6,9,5,4,4,72,70,64,67
EGY,2,16,7,10,9,53,50,49,48
EGY,2,10,2,5,2,37,37,35,31
EGY,4,27,8,13,16,44,44,44,42
EGY,0,19,5,6,7,40,39,36,36
EGY,1,7,1,1,1,25,22,22,22
EGY,2,5,2,1,2,42,41,42,38
EGY,0,21,5,9,5,40,37,37,35
EGY,2,26,13,13,12,47,41,45,43
EGY,0,25,8,11,10,29,25,26,26
EGY,2,9,2,5,2,57,51,49,52
EGY,0,18,11,13,9,30,29,29,28
EGY,2,29,14,14,11,64,60,58,59
EGY,0,4,1,2,1,31,30,29,30
EGY,3,5,2,0,0,33,32,29,29
EGY,1,8,2,3,2,16,15,15,14
EGY,2,12,8,7,4,37,34,34,34
EGY,2,20,6,5,6,85,82,77,74
EGY,1,22,6,6,5,54,50,50,50
EGY,0,7,3,4,3,37,35,36,31
EGY,1,8,5,5,4,30,28,26,27
EGY,0,5,1,0,2,19,18,16,17
EGY,0,7,3,4,1,24,19,20,19
EGY,0,7,2,3,3,24,23,23,22
EGY,2,12,6,7,2,40,36,36,34
EGY,8,20,6,8,8,180,168,161,155
EGY,17,98,42,45,36,385,362,351,343
EGY,1,13,3,2,5,14,13,12,13
EGY,0,24,7,12,12,68,63,64,64
EGY,0,29,12,14,13,36,35,33,32
EGY,1,20,5,4,5,31,29,27,26
EGY,0,12,1,6,3,21,20,20,19
EGY,1,18,7,9,7,58,53,52,54
EGY,0,8,4,4,3,15,14,13,14
EGY,0,11,4,3,4,17,17,17,17
EGY,2,19,13,7,7,73,73,72,67
EGY,0,9,6,5,5,35,30,30,32
EGY,0,12,3,4,3,17,16,16,15
EGY,0,7,2,3,3,20,18,18,18
EGY,1,7,4,4,3,38,35,35,31
EGY,3,11,4,4,5,31,30,30,28
EGY,0,20,9,7,7,33,33,33,32
EGY,4,14,7,7,7,46,42,42,41
EGY,1,16,8,9,8,38,38,38,37
EGY,3,38,8,12,11,101,89,93,88
EGY,4,11,2,1,3,34,33,30,33
EGY,2,16,9,10,6,25,24,24,25
EGY,0,14,3,6,3,60,53,52,54
EGY,2,20,11,7,10,78,74,71,69
EGY,2,9,1,2,0,42,36,40,37
EGY,2,10,6,2,4,18,18,18,17
EGY,0,1,0,0,0,19,18,18,17
EGY,1,10,2,4,5,23,21,21,21
EGY,0,11,3,5,4,28,24,28,26
EGY,0,25,13,10,12,49,45,47,48
EGY,3,20,8,7,7,103,96,89,91
EGY,2,11,2,6,5,34,34,31,30
EGY,1,6,1,2,1,15,14,15,14
EGY,0,16,3,2,4,28,26,27,25
EGY,0,6,3,2,3,12,12,12,12
EGY,1,19,5,7,7,19,16,16,17
EGY,0,15,5,4,4,16,15,13,13
EGY,0,12,7,8,7,13,11,12,11
EGY,1,15,3,4,5,23,20,22,21
EGY,0,23,11,10,7,23,22,23,23
EGY,3,35,11,18,12,46,46,45,40
EGY,0,13,6,9,4,43,39,39,39
EGY,6,30,6,9,9,80,75,71,74
EGY,1,16,5,4,3,95,90,85,77
EGY,6,31,13,12,12,89,81,84,80
EGY,6,18,9,7,3,98,95,86,80
EGY,1,12,5,5,4,57,57,53,54
EGY,0,4,1,1,1,22,22,21,21
EGY,5,10,4,5,3,108,104,101,97
EGY,1,16,3,3,4,30,30,29,30
EGY,0,7,1,1,2,15,14,12,13
EGY,2,16,9,6,6,64,60,63,56
EGY,7,36,7,7,14,111,102,100,103
EGY,0,11,3,3,2,19,16,18,17
EGY,2,14,3,5,4,66,58,60,56
EGY,2,16,8,9,5,40,39,39,37
EGY,1,32,8,8,9,48,43,44,43
EGY,11,33,13,14,15,318,296,298,286
EGY,0,33,5,7,8,60,57,56,55
EGY,0,15,2,2,2,28,26,26,28
EGY,0,15,6,6,5,28,27,27,27
EGY,0,9,0,3,1,11,11,11,11
EGY,1,22,12,10,9,63,62,62,59
EGY,4,16,6,5,5,46,42,45,43
EGY,1,16,7,7,5,38,37,38,34
EGY,0,8,3,2,4,28,26,26,27
EGY,0,11,4,3,4,15,14,14,14
EGY,3,27,10,14,13,84,83,84,83
EGY,2,33,6,6,6,88,79,85,82
EGY,0,15,9,8,5,41,40,40,35
EGY,6,6,4,2,3,29,28,28,26
EGY,0,20,7,8,10,20,17,18,18
EGY,0,6,1,2,0,29,28,28,22
EGY,3,14,7,7,4,58,55,47,48
EGY,1,15,6,9,6,17,16,15,14
EGY,2,41,16,18,18,74,67,66,66
EGY,0,3,1,1,1,18,17,17,18
EGY,3,78,34,27,39,177,167,172,158
EGY,5,29,8,10,10,69,63,64,61
EGY,1,15,7,7,9,49,47,46,45
EGY,0,18,8,8,8,26,25,26,24
EGY,0,13,7,5,7,31,27,27,26
EGY,0,12,4,5,4,15,14,14,14
EGY,1,12,6,6,4,38,37,35,36
EGY,1,22,6,8,8,26,24,26,25
EGY,1,16,2,1,2,35,32,32,32
EGY,2,45,11,13,10,159,150,148,143
EGY,0,25,5,6,5,61,53,57,49
EGY,3,14,3,5,2,12,12,12,11
EGY,0,6,4,3,4,15,14,14,15
EGY,2,25,6,7,5,49,45,45,46
EGY,0,24,7,6,6,25,22,22,21
EGY,6,18,9,7,4,46,44,40,38
EGY,0,7,3,1,2,59,49,51,47
EGY,2,14,10,7,5,57,56,56,53
EGY,2,16,7,8,10,22,22,21,21
EGY,0,9,3,2,4,30,29,30,26
EGY,1,11,6,5,4,19,18,17,18
EGY,1,14,7,8,7,36,35,33,35
EGY,1,18,6,8,5,67,61,62,60
EGY,2,26,7,8,5,92,87,84,84
EGY,0,12,3,4,4,16,16,15,16
EGY,0,9,2,3,2,17,16,17,17
EGY,1,40,12,16,10,47,47,44,44
EGY,0,6,6,2,4,18,17,17,15
EGY,1,11,5,5,1,47,44,40,40
EGY,1,19,9,10,8,46,45,44,41
EGY,2,10,3,6,4,34,32,29,26
EGY,5,14,6,3,4,35,35,34,34
EGY,3,14,8,9,11,29,27,28,28
EGY,0,6,4,4,3,20,18,18,18
EGY,0,26,11,12,13,51,43,49,47
EGY,1,6,1,2,1,24,21,24,21
EGY,1,32,8,8,10,65,56,56,60
EGY,0,17,3,5,3,49,41,45,45
EGY,5,57,16,14,18,99,84,94,92
EGY,4,21,4,6,5,77,73,70,69
EGY,3,5,1,1,3,23,17,19,20
EGY,1,20,5,3,5,38,32,34,33
EGY,2,12,2,4,2,22,21,21,22
EGY,0,12,4,5,5,26,24,22,22
EGY,0,16,5,7,6,25,23,24,22
EGY,0,18,5,7,4,37,37,34,34
EGY,1,14,8,6,5,20,20,19,17
EGY,2,21,6,8,8,38,34,35,33
EGY,8,17,4,5,9,91,78,83,81
EGY,0,19,9,8,8,32,30,29,31
EGY,1,9,0,2,0,25,21,23,21
EGY,0,22,4,8,6,24,23,24,23
EGY,1,16,6,7,4,52,51,50,49
EGY,5,20,9,7,9,110,101,102,95
EGY,5,13,6,6,3,66,59,62,56
EGY,0,26,16,14,8,47,45,46,41
EGY,7,8,0,0,1,79,73,75,63
EGY,1,11,6,6,2,19,18,17,17
EGY,9,42,10,13,14,197,182,186,169
EGY,1,20,4,3,2,34,32,32,31
EGY,0,9,4,3,3,22,20,19,19
EGY,0,24,11,11,12,37,35,36,36
EGY,0,14,2,3,5,31,31,29,28
EGY,5,30,14,13,15,94,89,92,85
EGY,3,7,4,0,3,34,31,31,29
EGY,2,4,1,3,3,33,32,31,31
EGY,0,50,24,22,21,73,67,68,66
EGY,2,21,8,8,7,69,65,66,61
EGY,1,5,2,2,1,16,11,14,14
EGY,0,6,3,2,2,15,15,11,12
EGY,2,18,6,6,8,27,26,24,26
EGY,0,8,3,3,1,26,24,24,23
EGY,1,17,7,8,9,21,19,18,15
EGY,0,16,4,5,5,26,26,26,25
EGY,0,9,2,3,2,20,16,17,16
EGY,0,12,4,5,2,19,18,16,17
EGY,1,5,3,2,2,22,20,20,19
EGY,0,11,3,4,5,13,12,11,7
EGY,1,19,8,6,5,34,30,33,31
EGY,1,7,4,2,2,21,19,20,19
EGY,0,11,2,3,5,19,17,16,16
EGY,10,48,17,18,12,231,212,196,206
EGY,2,20,7,14,6,64,61,60,56
EGY,2,6,2,2,3,27,26,23,25
EGY,0,14,3,4,3,35,32,34,30
EGY,0,9,2,4,2,19,18,17,17
EGY,2,13,5,4,4,43,38,40,38
EGY,1,4,1,1,2,23,20,20,20
EGY,3,37,17,18,16,101,93,95,87
EGY,15,82,33,30,31,232,219,224,216
EGY,0,2,1,2,1,23,23,22,22
EGY,1,30,12,11,8,61,58,59,56
EGY,1,7,1,5,3,40,35,39,37
EGY,1,16,4,3,3,60,51,56,53
EGY,0,7,1,1,3,37,35,32,30
EGY,1,13,4,6,4,75,69,68,64
EGY,3,11,2,0,1,31,28,28,28
EGY,0,21,5,7,4,85,79,80,73
EGY,0,14,4,3,2,72,68,69,61
EGY,1,8,3,4,3,27,26,27,27
EGY,0,8,4,4,3,12,10,10,12
EGY,1,11,1,3,4,17,16,15,14
EGY,3,21,9,7,9,64,61,63,58
EGY,0,39,9,10,11,45,39,42,43
EGY,3,9,4,5,3,49,46,43,42
EGY,0,15,8,9,9,34,33,33,32
