@relation textClassifier

@ATTRIBUTE class {EGYpos, GLFpos, LAVpos, MSApos, NORpos}
@ATTRIBUTE uniqueTags  NUMERIC
@ATTRIBUTE /CC NUMERIC
@ATTRIBUTE /CD NUMERIC
@ATTRIBUTE /DT NUMERIC
@ATTRIBUTE /EX NUMERIC
@ATTRIBUTE /FW NUMERIC
@ATTRIBUTE /IN NUMERIC
@ATTRIBUTE /JJ NUMERIC
@ATTRIBUTE /JJR NUMERIC
@ATTRIBUTE /JJS NUMERIC
@ATTRIBUTE /LS NUMERIC
@ATTRIBUTE /MD NUMERIC
@ATTRIBUTE /NN NUMERIC
@ATTRIBUTE /NNP NUMERIC
@ATTRIBUTE /NNPS NUMERIC
@ATTRIBUTE /NNS NUMERIC
@ATTRIBUTE /PDT NUMERIC
@ATTRIBUTE /POS NUMERIC
@ATTRIBUTE /PRP NUMERIC
@ATTRIBUTE /RB NUMERIC
@ATTRIBUTE /RBR NUMERIC
@ATTRIBUTE /RBS NUMERIC
@ATTRIBUTE /RP NUMERIC
@ATTRIBUTE /SYM NUMERIC
@ATTRIBUTE /TO NUMERIC
@ATTRIBUTE /UH NUMERIC
@ATTRIBUTE /VB NUMERIC
@ATTRIBUTE /VBD NUMERIC
@ATTRIBUTE /VBG NUMERIC
@ATTRIBUTE /VBN NUMERIC
@ATTRIBUTE /VBP NUMERIC
@ATTRIBUTE /VBZ NUMERIC
@ATTRIBUTE /WDT NUMERIC
@ATTRIBUTE /WP NUMERIC
@ATTRIBUTE /WRB NUMERIC
@ATTRIBUTE /DTNNS NUMERIC
@ATTRIBUTE /DTNNP NUMERIC
@ATTRIBUTE /DTNN NUMERIC
@ATTRIBUTE /DTJJ NUMERIC
@ATTRIBUTE /DTJJR NUMERIC
@ATTRIBUTE /NOUN NUMERIC
@ATTRIBUTE /ADJ NUMERIC
@ATTRIBUTE /VN NUMERIC
@ATTRIBUTE /PUNC NUMERIC
@ATTRIBUTE readability NUMERIC
@ATTRIBUTE pureMSA NUMERIC
@ATTRIBUTE pureEGY NUMERIC
@ATTRIBUTE pureGLF NUMERIC
@ATTRIBUTE pureLAV NUMERIC
@ATTRIBUTE pureNOR NUMERIC
@ATTRIBUTE MSAEGY NUMERIC
@ATTRIBUTE MSAGLF NUMERIC
@ATTRIBUTE MSALAV NUMERIC
@ATTRIBUTE MSANOR NUMERIC

@data
null
EGYpos,12,0,0,0,0,0,12,4,0,0,0,0,22,12,0,2,0,0,1,1,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,2,4,0,0,0,0,0,0,10.472278939625014,0,23,5,6,11,56,51,53,51
EGYpos,14,0,0,2,0,0,6,2,0,0,0,0,16,9,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,2,1,8,2,0,0,0,0,0,36.716881472000026,1,15,6,7,5,44,41,40,41
EGYpos,15,1,0,4,0,0,6,7,0,0,0,0,45,7,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,10,0,0,3,0,0,1,15,2,1,0,0,0,0,-16.00666185891889,3,25,5,4,8,84,81,77,78
EGYpos,12,0,0,2,0,0,0,4,0,0,0,0,18,8,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,6,6,0,1,0,0,0,35.56635818696425,2,24,8,8,7,31,27,30,27
EGYpos,10,0,0,1,0,0,3,1,0,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,73.85227332031252,2,6,1,2,0,24,22,22,19
EGYpos,16,0,0,4,0,0,2,5,0,0,0,0,19,7,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,6,0,0,1,0,2,1,6,2,0,1,0,0,0,49.325749599838716,1,15,3,4,4,46,45,43,42
EGYpos,14,0,1,1,0,0,7,2,0,0,0,0,18,5,0,1,0,0,2,0,0,0,4,0,0,0,0,2,0,1,7,0,0,0,0,1,0,10,0,0,0,0,0,0,56.02485717590166,4,13,6,5,4,48,46,47,43
EGYpos,13,0,0,0,0,0,4,2,0,0,0,0,9,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,90.99000256444444,1,8,1,2,3,20,18,18,18
EGYpos,14,1,1,2,0,0,6,1,0,0,0,0,15,4,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,8,0,0,1,0,0,0,10,5,0,0,0,0,0,-0.20718784870965123,0,10,3,3,2,50,45,42,42
