@relation textClassifier

@attribute textClassifier {EGY, MSA}
@attribute text String

@data
EGY,'شاء الله وينزل الكليات أه لا نعرض عليهم والفكرة وننتظر وطاعتنا ونحاول إنه لم يتم على من دلوقت'
EGY,'شارك طبعا من استهلاك نوع مختلف عن الثاني فى بالدين أحدث تلفيات في أكثر من حاجة ما ننظر مناسبة كمراكز المجال الثاني كنا نحتاج لشخصية صلاح بنشوف حاجات تشابك لكل وحدتنا وصل اليوم عن طريق نتفاوض ما بيصيرش إنا في سيتسم صايل فبص ناصيته ويجب من من هنا لهنا محتجين على غرار واتصلنا به ووجدنا صلاح من الواضح دية اللي إحنا كنا محتاجينها تصلح ضروري جدا في الشركة وذكر طبعا كان أقرب وأسهل طريق نحن نقدر نوصل من خلال'
EGY,'شوف إحنا بدينا منصف في هذه السنوات الخمس وكنا مجموعة من الخبراء بنشتغل مع الدكتور عزيز صدقي في ذلك الوقت أه لأن عبد الناصر كان مهتم جدا بتنمية الصناعة في مصر وبالذات الميزة يعني إنه بيعمل صناعة الأساسية مش الصناعات الاستهلاكية أو ما يسمى بالصناعات التحويلية يعني أه طبعا كان عنده فلسفة يعتمد فيها على تنمية الصناعة في مصر'
EGY,'أعلن اتفق مع الدكتور بس نكمل بها كما يتعين على الدكتور عبد المجيد ما يقول شن حرب مكاني لا ينفع دعوة للعودة إلى عمل إنما ما يقول شيء مش حاتم مكاني كنائب عام وإلا نسمح لأعضاء مجلس الشعب الذين قضت المحكمة الدستورية العليا بحل هذا المجلس أن يعودوا إلى مقاعدهم في المجلس ولو إحنا كمان مش هنمشي ومش عم بطبع حكم المحكمة التصدع القانون القانون الحق قرار رئيس الجمهورية قد يكون معيبا في نظرك كسعادة نائب عام من حقك أن تطعن في هذا القرار أمام القضاء وتعود بحكم من القضاء إنما مش مش حتما هذه مكانك وإلا أصبحت خصما وحكما صح إنتقامي قابل للعزل ونحن نؤكد هذا والقلوب ولهذا ولهذا'
EGY,'للأسف حال المدارس الآن حال موجزة جدا صعب أه ما يسع الشعب نعمل الارتقاء بالعملية التعليمية أنهوا دلوقتي أصبح ال الحالة المادية بتعطوا تعبانة الحالة العلمية بتاعته مش قادر يتصورها لأنه بيجري وأرغمت العيش بتاعته عشان خاطر يزيد رصد بيته فبالتالي هي إما للدروس الخصوصية إما للتجميل شغلانة تانية بعض تلك تسد رمق أه وأولاده'
EGY,'للمرة الأولى شعارات الدولة بإنه أه البساط يسحب من تحت أقدامها وأياديها ويعني وكل شيء وأصبح في يد المواطن أدواته ولذلك ستجد أه يعني حوادث من هذا القبيل فكرة أن'
EGY,'لم الخدمات لمن يعني حركنا عرضة الكهرباء الماء أل البوتجاز الغاز كل هذه الأمور بتمدد للشعب المصري وليس على التمييز ما بين فئة وأخرى يعني هذا شيء أكيد يا ابني مستثمر أه ما بنشوفش ية هو ديه إيه وأنا وغيري ولم يتم أي حزب أي حد ونعاونه بنعاونه بنعاونه المليونيات سالم أو المظاهرات أه هديبان تكون طبيعية ال يعني ال الديمقراطية'
EGY,'لم وائل أه وتولى رئاسة الجمهورية وأقسم اليمين كنت أول خضل أو ال وال أه كلملي إنه هو يبقى المدة لا تزيد عن مدينتين رئاسة الجمهورية إنه هو الخبر بتاعته لن تزيد عن 20 جلية على الإطلاق الحاجة تنزل بطول لن تظهر في وسائل الإعلام على الإطلاق ولا يقبل أن يوضع اسمه على أي منشأة وأي حاجة تتعمل في البلد ذا الآخرين'
EGY,'لم يسبق أن حد في المنطقة على الأقل بياخد ناس ما بتعرفش وبيع لمنحى جديد خامس بوسالمي من مونتاج ممكن إن هو ي باع وي ونيفيس وممكن حتى النووي'
EGY,'لما ترددت في ذلك إحنا عز نتحمل المسؤولية عشر مليارا من الشعب إحنا الآن مقيدين في مجلس الشعب ما يجري من حولنا كله لتشويه صورتنا وليجعل إن شعبية التيار الإسلامي تتآكل لكن لم تتأكد شعبية ال التيار الإسلامي وسوف يتحمل المسؤولية كاملة وحينئذ نكون مسؤولين أمام الشعب المصري حينما تكون السلطة التنفيذية والسلطة التشريعية جناحين يعني متعاونين ل ل لتحقيق مطالب الشعب'
