Classifier	Features	Training Accuracy	Testing Accuracy
J48	Stylistic_Bivalency	74.54832060143082	60.165362468625425
NB	Stylistic_Bivalency	59.66412028616467	49.38727299571829
KNN	Stylistic_Bivalency	69.03116284709591	54.46626310349919
SMO	Stylistic_Bivalency	69.55256456893416	57.03528716964418
J48	Grammatical_Stylistic	51.49751424760519	50.52413996751809
NB	Grammatical_Stylistic	41.46962531829756	40.631920862247156
KNN	Grammatical_Stylistic	47.02315993694677	44.19016683891924
SMO	Grammatical_Stylistic	54.20759063902025	55.04207884246272
J48	Grammatical_Bivalency	75.95489268825027	63.5759633840248
NB	Grammatical_Bivalency	56.608463683763794	46.58201683153698
KNN	Grammatical_Bivalency	64.0899721110707	52.38446773955411
SMO	Grammatical_Bivalency	75.31829756275009	63.66455042078842
J48	Bivalency	74.97271735176427	61.73040011811605
NB	Bivalency	59.185158239359765	47.64506127270043
KNN	Bivalency	72.4930277676731	57.83257050051676
SMO	Bivalency	71.01370195222505	57.06481618189871
J48	Stylistic	45.59233660725112	45.07603720655544
NB	Stylistic	33.82442100157633	37.29514247748413
KNN	Stylistic	42.40936097975021	40.188985678429056
SMO	Stylistic	31.21741239238511	33.60401594566662
J48	Grammatical	50.56384139687159	50.376494906245384
NB	Grammatical	40.46926154965442	38.91923815148383
KNN	Grammatical	46.392627622165634	42.16742949948324
SMO	Grammatical	52.564568934157876	52.487819282445
J48	AttributeSelection	75.01515702679762	63.959840543333826
NB	AttributeSelection	65.44804171213775	56.474235936807915
KNN	AttributeSelection	69.2615496544198	56.78429056548058
SMO	AttributeSelection	69.95877288711047	60.608297652443525
