@relation textClassifier

@ATTRIBUTE class {EGY, GLF, LAV, MSA, NOR}
@ATTRIBUTE uniqueTags  NUMERIC
@ATTRIBUTE /CD NUMERIC
@ATTRIBUTE /DT NUMERIC
@ATTRIBUTE /DTJJ NUMERIC
@ATTRIBUTE /DTJJR NUMERIC
@ATTRIBUTE /DTNN NUMERIC
@ATTRIBUTE /DTNNP NUMERIC
@ATTRIBUTE /DTNNS NUMERIC
@ATTRIBUTE /IN NUMERIC
@ATTRIBUTE /JJ NUMERIC
@ATTRIBUTE /NN NUMERIC
@ATTRIBUTE /NNP NUMERIC
@ATTRIBUTE /NNS NUMERIC
@ATTRIBUTE /NOUN NUMERIC
@ATTRIBUTE /PRP NUMERIC
@ATTRIBUTE /RB NUMERIC
@ATTRIBUTE /RP NUMERIC
@ATTRIBUTE /UH NUMERIC
@ATTRIBUTE /VBD NUMERIC
@ATTRIBUTE /VBN NUMERIC
@ATTRIBUTE /VBP NUMERIC
@ATTRIBUTE /WP NUMERIC
@ATTRIBUTE /WRB NUMERIC
@ATTRIBUTE readability NUMERIC
@ATTRIBUTE pureMSA NUMERIC
@ATTRIBUTE pureEGY NUMERIC
@ATTRIBUTE pureGLF NUMERIC
@ATTRIBUTE pureLAV NUMERIC
@ATTRIBUTE pureNOR NUMERIC
@ATTRIBUTE MSAEGY NUMERIC
@ATTRIBUTE MSAGLF NUMERIC
@ATTRIBUTE MSALAV NUMERIC
@ATTRIBUTE MSANOR NUMERIC
@ATTRIBUTE Adverbials NUMERIC
@ATTRIBUTE Adverbs NUMERIC
@ATTRIBUTE ConjSub NUMERIC
@ATTRIBUTE Conjunctions NUMERIC
@ATTRIBUTE Demonstratives NUMERIC
@ATTRIBUTE Modals NUMERIC
@ATTRIBUTE Negation NUMERIC
@ATTRIBUTE Particles NUMERIC
@ATTRIBUTE Prepositionals NUMERIC
@ATTRIBUTE Prepositions NUMERIC
@ATTRIBUTE Pronoun NUMERIC
@ATTRIBUTE Quantitives NUMERIC
@ATTRIBUTE QuestionWords NUMERIC
@ATTRIBUTE Relatives NUMERIC
@ATTRIBUTE StopWords NUMERIC
@ATTRIBUTE typeTokenRatio NUMERIC

@data
EGY,8,0,0,1,0,2,0,0,0,2,4,4,0,0,0,0,1,0,0,1,0,1,0,63.64382985,5,0,1,4,0,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0
EGY,7,0,0,2,0,2,0,0,0,0,4,5,0,1,0,0,0,0,1,0,1,0,0,69.6891883575,0,3,4,1,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.0
EGY,3,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,135.24009417874998,0,0,0,0,0,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75
EGY,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,27.46096179,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,10,0,0,0,0,3,2,0,3,2,10,2,0,0,0,0,0,0,1,1,3,0,1,119.68704068364585,0,1,2,0,0,17,16,16,13,0,0,0,1,0,0,0,0,1,2,0,0,1,0,5,0.30303030303030304
EGY,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,134.247414925,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334
EGY,9,0,0,0,0,2,2,0,4,1,10,10,1,0,0,0,0,0,6,0,1,0,0,105.06984787378377,0,19,1,1,0,17,12,14,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.918918918918919
EGY,11,0,1,0,0,2,1,0,1,0,4,2,0,0,0,2,1,0,3,0,2,1,0,113.9920564175,2,6,2,0,0,15,9,12,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1.0
EGY,6,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,4,0,0,0,0,107.12771675857142,0,5,0,0,1,13,8,10,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.9285714285714286
EGY,5,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,125.35112811900001,0,6,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
