@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-24,31-37,39-49'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute readability numeric
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute Conjunctions numeric
@attribute typeTokenRatio numeric

@data
EGY,63.64383,5,0,1,4,0,0,1
EGY,69.689188,0,3,4,1,0,0,1
EGY,135.240094,0,0,0,0,0,0,0.75
EGY,27.460962,1,0,0,0,1,0,1
EGY,119.687041,0,1,2,0,0,1,0.30303
EGY,134.247415,0,2,0,0,0,0,0.833333
EGY,105.069848,0,19,1,1,0,0,0.918919
EGY,113.992056,2,6,2,0,0,0,1
EGY,107.127717,0,5,0,0,1,0,0.928571
EGY,125.351128,0,6,0,0,0,0,1
EGY,94.416257,0,10,0,0,0,0,1
EGY,57.008884,1,18,2,2,2,6,0.761905
EGY,127.172176,2,2,0,0,0,0,1
EGY,50.976139,5,51,8,1,5,1,0.274621
EGY,81.496134,1,0,1,0,0,0,0.45
EGY,104.424133,0,4,0,0,0,0,0.396552
EGY,121.141698,0,2,0,1,1,0,1
EGY,93.959905,0,0,0,0,0,0,1
EGY,141.675147,0,3,1,2,1,0,0.461538
EGY,48.560471,2,28,4,3,0,0,0.842857
EGY,142.322773,0,1,0,0,0,0,1
EGY,35.158043,1,3,1,0,0,1,0.935484
EGY,63.118076,6,24,1,1,1,0,0.892308
EGY,20.919626,7,25,2,2,0,1,0.847059
EGY,76.033407,0,2,0,0,0,1,0.833333
EGY,94.590485,0,0,0,1,0,0,0.923077
EGY,64.838646,0,9,0,1,0,2,0.8
EGY,90.335257,0,12,3,3,1,0,0.439024
EGY,172.549566,0,0,0,0,0,0,1
EGY,138.414151,0,0,0,0,0,0,1
EGY,104.45,0,12,1,1,0,0,0.469697
EGY,135.173132,0,5,0,1,0,0,1
EGY,63.629846,0,13,1,1,0,1,0.853659
EGY,156.398849,0,0,0,0,0,0,1
EGY,103.587837,0,3,2,0,1,0,1
EGY,35.432086,2,16,0,1,3,3,0.811594
EGY,120.126698,0,2,2,0,1,0,1
EGY,155.784613,0,0,0,0,0,0,0.35
EGY,90.521808,1,8,0,1,0,1,0.871795
EGY,92.680382,2,34,1,1,5,2,0.208333
EGY,41.001339,3,15,3,1,0,7,0.772152
EGY,115.678555,0,1,0,0,0,0,1
EGY,105.9911,2,2,3,0,0,0,1
EGY,114.797948,0,13,1,3,0,1,0.207547
EGY,119.28001,0,0,0,0,0,0,1
EGY,98.789377,0,7,0,0,0,2,0.96875
EGY,59.233513,2,8,0,3,0,0,0.95
EGY,118.096698,0,0,0,0,0,0,1
EGY,39.4121,2,9,1,3,1,0,0.783784
EGY,116.864568,2,3,3,1,0,0,0.27957
EGY,124.22106,0,8,0,2,0,1,0.152381
EGY,154.39861,0,1,0,0,0,0,1
EGY,143.707756,0,6,0,0,0,0,1
EGY,55.956143,3,23,2,0,0,0,0.83871
EGY,37.198646,2,25,0,1,1,1,0.948718
EGY,108.662837,1,0,0,0,0,0,1
EGY,83.675981,0,4,2,1,1,0,0.90625
EGY,87.87702,0,18,4,4,2,3,0.275556
EGY,117.104019,1,0,1,0,0,1,1
EGY,92.512329,1,3,0,0,0,0,0.944444
EGY,109.805921,5,31,2,0,0,2,0.12218
EGY,127.85466,0,5,1,1,0,0,1
EGY,57.672874,0,2,0,1,1,0,1
EGY,49.612396,1,3,0,0,0,0,1
EGY,19.570679,3,37,2,3,0,6,0.814433
EGY,58.211351,1,18,0,1,1,3,0.833333
EGY,39.185148,2,18,3,0,3,3,0.822581
EGY,64.153908,0,19,3,1,2,0,0.980392
EGY,100.572807,0,22,5,0,1,1,0.185714
EGY,165.504088,0,0,0,0,0,0,1
EGY,61.206393,0,1,0,2,1,0,0.941176
EGY,65.281792,1,6,1,0,0,0,0.928571
EGY,85.726416,0,14,4,2,2,1,0.953488
EGY,147.114419,0,0,0,1,0,0,0.9
EGY,106.573316,2,2,0,1,0,0,1
EGY,135.897114,1,7,0,0,1,1,0.107143
EGY,99.95773,1,16,0,1,0,6,0.277778
EGY,109.887415,5,6,1,0,1,3,0.8
EGY,129.194736,1,2,0,0,0,0,0.470588
EGY,130.75475,0,4,0,0,0,1,1
EGY,132.217415,0,1,0,0,0,0,1
EGY,150.368371,0,1,0,0,0,1,1
EGY,74.80883,0,2,0,0,0,0,1
EGY,74.570117,0,3,0,0,0,0,1
EGY,108.961698,1,3,1,1,0,1,1
EGY,100.937183,2,6,1,0,0,0,0.96
EGY,78.858688,1,17,0,0,2,0,0.918919
EGY,117.104019,0,0,0,0,0,0,1
EGY,101.325456,1,5,0,0,3,0,0.842105
EGY,178.594924,0,2,0,0,0,0,1
EGY,59.131729,2,18,0,0,0,0,0.947368
EGY,152.189419,0,2,1,0,1,0,1
EGY,148.368132,0,0,0,0,0,0,1
EGY,111.412478,1,5,1,0,0,0,0.954545
EGY,107.599302,1,6,0,1,0,0,0.870968
EGY,89.761282,2,7,2,0,0,0,0.870968
EGY,102.598163,0,1,1,0,1,0,1
EGY,97.841339,1,7,0,0,1,0,0.958333
EGY,131.870425,1,2,1,0,0,0,0.818182
EGY,68.674026,1,24,1,2,0,0,0.452703
EGY,116.59794,1,26,1,2,1,0,0.123932
EGY,114.232717,0,2,0,0,0,0,0.857143
EGY,55.470512,3,13,3,0,2,1,0.962264
EGY,97.296888,5,7,0,1,0,0,0.323232
EGY,113.383365,0,8,1,0,1,0,0.186667
EGY,128.832892,3,39,1,1,1,0,0.101839
EGY,199.776,9,73,2,6,2,0,0.046209
EGY,131.202728,3,12,1,0,0,0,0.444444
EGY,100.022717,1,9,0,0,0,0,0.714286
EGY,76.929155,1,6,1,0,2,1,0.891892
EGY,92.243438,0,0,0,0,0,0,1
EGY,146.338132,0,2,0,0,0,0,1
EGY,135.023702,0,1,0,0,0,0,1
EGY,28.475962,0,1,0,1,0,0,1
EGY,103.975981,0,3,0,0,0,1,1
EGY,78.131968,1,13,1,2,0,3,0.909091
EGY,87.318076,0,8,0,0,1,0,0.933333
EGY,122.156698,0,1,0,0,0,0,1
EGY,113.836573,1,3,0,0,0,1,0.85
EGY,105.9911,0,2,2,0,0,1,1
EGY,132.187654,0,6,0,0,0,0,1
EGY,116.911808,0,2,0,0,0,0,1
EGY,110.842268,0,3,0,0,0,0,1
EGY,130.187415,2,2,0,0,0,2,1
EGY,128.500917,0,4,0,0,0,4,0.8
EGY,154.41349,0,0,0,0,0,0,0.5
EGY,78.27564,0,1,0,0,0,1,0.941176
EGY,96.810938,0,0,0,0,0,0,0.5
EGY,108.364394,0,5,0,0,0,0,1
EGY,166.050075,0,4,0,0,0,0,1
EGY,121.141698,1,1,1,0,0,0,1
EGY,102.767862,2,14,5,2,0,2,0.090909
EGY,114.036698,0,0,0,1,3,1,1
EGY,88.046949,0,9,1,1,0,0,0.823529
EGY,148.368132,0,0,0,0,0,0,1
EGY,99.767176,0,7,0,1,2,0,0.888889
EGY,84.899308,1,1,0,1,0,0,1
EGY,47.482971,1,16,3,0,2,0,0.170968
EGY,67.099357,1,12,1,2,0,0,0.977273
EGY,99.239724,1,26,0,0,2,1,0.842105
EGY,63.309769,0,2,0,0,0,0,0.178571
EGY,101.904441,0,2,1,0,0,0,0.92
EGY,30.257194,0,31,3,1,1,0,0.703704
EGY,115.61872,2,1,0,0,0,0,0.454545
EGY,141.093242,0,2,0,0,0,0,1
EGY,164.399492,0,1,0,0,0,0,0.111111
EGY,86.305327,0,2,2,0,1,0,1
EGY,89.914786,0,0,0,0,0,0,1
EGY,129.194736,0,2,0,0,0,0,1
EGY,143.293132,0,2,0,0,0,0,1
EGY,173.564566,0,1,0,0,0,0,1
EGY,97.065053,0,5,1,0,0,0,1
EGY,106.573316,0,3,1,0,0,0,0.933333
EGY,110.021339,0,3,0,1,0,0,1
EGY,103.891825,0,2,0,0,0,0,1
EGY,137.441845,0,1,0,0,0,0,1
EGY,89.010154,0,0,0,0,1,0,1
EGY,120.205727,0,3,0,0,0,1,0.947368
EGY,124.525031,0,2,0,0,1,0,0.333333
EGY,134.95966,0,1,0,0,0,0,1
EGY,60.717874,0,1,0,0,0,0,1
EGY,108.424124,0,1,0,1,1,0,1
EGY,132.605558,0,2,0,0,1,0,0.666667
EGY,88.303177,5,2,1,0,1,1,1
EGY,132.172773,1,4,0,0,1,0,0.448276
EGY,132.217415,1,1,1,1,0,1,0.5
EGY,77.369588,1,14,0,1,0,0,0.906977
EGY,120.632029,1,35,1,1,2,0,0.067908
EGY,95.476328,1,3,2,1,0,0,0.965517
EGY,92.416506,0,5,1,0,0,0,0.947368
EGY,118.335411,0,1,0,0,0,0,1
EGY,76.213224,0,23,2,1,0,0,0.933333
EGY,108.854962,1,2,1,1,0,0,0.636364
EGY,97.975264,0,0,1,0,0,0,1
EGY,199.776,2,19,1,4,1,0,0.893939
EGY,128.155488,0,14,0,0,1,1,0.152381
EGY,130.232056,0,1,0,0,0,0,1
EGY,88.50364,0,3,0,0,0,1,1
EGY,86.87062,0,8,1,3,0,0,0.777778
EGY,87.735981,2,6,2,0,0,0,0.685714
EGY,149.550853,0,1,2,0,1,0,0.5
EGY,72.943773,9,51,4,8,9,10,0.118135
EGY,83.502623,2,27,3,0,2,0,0.434211
EGY,112.433341,0,19,1,1,1,1,0.121065
EGY,199.776,4,51,0,2,0,2,0.764706
EGY,93.945025,0,1,0,0,0,0,0.833333
EGY,74.51122,2,19,1,2,1,0,0.467391
EGY,99.353875,2,7,0,1,0,0,0.483333
EGY,101.355902,1,43,3,5,3,1,0.116012
EGY,108.055798,1,7,1,0,0,0,0.913043
EGY,51.404308,1,13,2,4,1,0,0.894737
EGY,124.352249,0,3,0,0,0,0,1
EGY,101.990622,0,2,1,0,0,0,1
EGY,86.869786,1,2,1,0,0,1,1
EGY,87.407568,1,2,1,2,2,3,0.888889
EGY,118.141339,0,1,0,0,0,0,1
EGY,51.478562,3,14,0,0,0,0,1
EGY,95.736937,0,4,1,1,2,0,0.972222
EGY,81.960819,1,6,1,0,0,0,0.96875
EGY,115.325233,1,1,0,0,0,0,0.947368
EGY,67.679233,3,12,0,0,1,0,0.93617
EGY,73.79508,0,28,2,2,1,1,0.9
EGY,65.763113,0,0,0,0,0,0,1
EGY,125.874947,0,0,1,1,1,0,1
EGY,199.776,10,55,5,0,0,0,0.416168
EGY,83.543004,0,16,0,0,2,3,0.689655
EGY,103.975981,0,1,2,0,0,0,0.846154
EGY,118.771919,0,2,0,0,0,0,1
EGY,92.730374,2,3,0,0,0,0,1
EGY,115.982542,1,2,0,0,0,0,0.205882
EGY,100.005264,0,2,1,0,0,0,1
EGY,113.71441,1,9,2,0,0,0,0.220238
EGY,93.959905,0,1,0,0,0,0,0.311111
EGY,175.594566,0,0,0,0,0,0,1
EGY,59.13227,1,17,0,0,2,1,0.904762
EGY,37.688365,5,23,0,0,2,2,0.945455
EGY,106.9269,0,50,2,6,2,1,0.074495
EGY,166.504207,0,1,0,0,1,0,1
EGY,132.187654,0,2,0,0,0,0,1
EGY,141.322654,0,2,0,0,1,0,0.15625
EGY,142.516845,0,2,0,0,0,0,0.416667
EGY,147.353132,0,2,0,1,0,0,1
EGY,110.778226,0,0,0,0,0,0,0.857143
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,126.127415,3,2,2,0,1,0,1
EGY,81.869188,0,0,2,0,0,0,0.277778
EGY,123.848365,1,2,0,0,0,0,0.25641
EGY,92.243438,0,3,0,0,0,0,1
EGY,150.398132,0,1,0,0,0,0,1
EGY,70.117548,3,10,1,0,1,0,0.878049
EGY,122.577478,0,5,1,0,0,0,0.477273
EGY,102.873867,0,11,0,1,1,0,0.474359
EGY,122.246294,0,0,0,0,0,0,0.5
EGY,113.191588,1,6,1,0,0,1,0.261905
EGY,106.684997,3,28,3,0,2,0,0.125323
EGY,199.776,4,25,3,2,2,0,0.875
EGY,84.18296,0,3,0,0,0,0,0.777778
EGY,105.13111,1,6,2,2,0,1,0.316667
EGY,134.95966,0,3,0,0,0,0,1
EGY,186.670283,0,0,0,0,0,0,1
EGY,51.369272,3,12,1,0,0,0,0.836735
EGY,94.015327,3,2,0,1,0,0,0.5
EGY,108.009486,4,12,1,0,0,1,0.038679
EGY,39.020849,3,11,1,2,5,2,0.821429
EGY,44.777221,6,19,1,1,2,0,0.945455
EGY,124.186698,0,0,0,0,0,0,1
EGY,93.870622,0,1,0,1,2,0,0.875
EGY,120.096937,1,1,1,0,0,1,1
EGY,102.93866,0,2,1,0,1,3,0.875
EGY,107.323736,0,0,1,1,0,0,1
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,122.156698,0,1,0,0,0,1,0.458333
EGY,84.107015,1,2,0,1,1,0,1
EGY,96.450595,1,1,0,0,2,2,1
EGY,124.694198,0,1,0,0,0,0,0.15
EGY,89.914786,0,0,0,0,0,0,0.428571
EGY,142.322773,0,1,0,0,0,0,1
EGY,137.680558,0,2,1,0,0,0,1
EGY,171.534566,0,0,0,0,0,0,1
EGY,148.368132,0,3,0,0,0,0,0.4
EGY,108.00622,0,5,0,0,0,0,1
EGY,93.959905,0,2,1,0,0,0,1
EGY,134.494756,0,1,0,0,1,0,0.909091
