@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-25,35-50'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute MSAEGY numeric
@attribute MSAGLF numeric
@attribute MSALAV numeric
@attribute MSANOR numeric

@data
EGY,5,0,1,4,0,6,6,6,5
EGY,0,3,4,1,0,6,6,6,4
EGY,0,0,0,0,0,5,5,5,3
EGY,1,0,0,0,1,0,0,0,0
EGY,0,1,2,0,0,17,16,16,13
EGY,0,2,0,0,0,2,2,2,2
EGY,0,19,1,1,0,17,12,14,10
EGY,2,6,2,0,0,15,9,12,11
EGY,0,5,0,0,1,13,8,10,8
EGY,0,6,0,0,0,3,2,2,2
EGY,0,10,0,0,0,12,7,10,8
EGY,1,18,2,2,2,39,32,35,29
EGY,2,2,0,0,0,2,2,2,2
EGY,5,51,8,1,5,122,83,96,83
EGY,1,0,1,0,0,3,4,3,3
EGY,0,4,0,0,0,14,13,13,14
EGY,0,2,0,1,1,2,1,2,0
EGY,0,0,0,0,0,1,1,1,0
EGY,0,3,1,2,1,14,14,14,11
EGY,2,28,4,3,0,33,32,27,23
EGY,0,1,0,0,0,3,2,2,2
EGY,1,3,1,0,0,21,17,19,16
EGY,6,24,1,1,1,32,23,28,27
EGY,7,25,2,2,0,44,34,43,36
EGY,0,2,0,0,0,18,14,17,14
EGY,0,0,0,1,0,8,7,9,5
EGY,0,9,0,1,0,33,31,28,26
EGY,0,12,3,3,1,18,15,15,11
EGY,0,0,0,0,0,1,1,1,1
EGY,0,0,0,0,0,4,3,4,4
EGY,0,12,1,1,0,10,11,9,8
EGY,0,5,0,1,0,9,7,8,7
EGY,0,13,1,1,0,24,23,21,18
EGY,0,0,0,0,0,4,2,4,4
EGY,0,3,2,0,1,4,3,3,0
EGY,2,16,0,1,3,44,34,39,33
EGY,0,2,2,0,1,1,1,1,2
EGY,0,0,0,0,0,2,2,2,0
EGY,1,8,0,1,0,27,23,24,22
EGY,2,34,1,1,5,52,44,47,40
EGY,3,15,3,1,0,52,40,42,36
EGY,0,1,0,0,0,5,4,5,5
EGY,2,2,3,0,0,5,6,6,4
EGY,0,13,1,3,0,32,21,28,24
EGY,0,0,0,0,0,7,7,7,7
EGY,0,7,0,0,0,23,17,18,15
EGY,2,8,0,3,0,25,20,24,14
EGY,0,0,0,0,0,7,6,7,5
EGY,2,9,1,3,1,46,38,42,31
EGY,2,3,3,1,0,20,20,20,17
EGY,0,8,0,2,0,17,16,17,14
EGY,0,1,0,0,0,2,2,3,2
EGY,0,6,0,0,0,10,10,10,8
EGY,3,23,2,0,0,38,29,35,31
EGY,2,25,0,1,1,18,15,14,11
EGY,1,0,0,0,0,2,2,1,2
EGY,0,4,2,1,1,17,16,17,8
EGY,0,18,4,4,2,39,31,32,24
EGY,1,0,1,0,0,6,4,4,4
EGY,1,3,0,0,0,10,6,8,5
EGY,5,31,2,0,0,33,29,31,19
EGY,0,5,1,1,0,10,6,7,6
EGY,0,2,0,1,1,2,2,2,3
EGY,1,3,0,0,0,2,1,1,2
EGY,3,37,2,3,0,34,30,31,25
EGY,1,18,0,1,1,20,16,17,16
EGY,2,18,3,0,3,39,32,33,32
EGY,0,19,3,1,2,28,24,23,17
EGY,0,22,5,0,1,29,24,24,20
EGY,0,0,0,0,0,1,1,1,1
EGY,0,1,0,2,1,13,12,11,12
EGY,1,6,1,0,0,17,14,14,11
EGY,0,14,4,2,2,23,20,18,17
EGY,0,0,0,1,0,6,4,6,4
EGY,2,2,0,1,0,4,4,4,3
EGY,1,7,0,0,1,13,13,13,10
EGY,1,16,0,1,0,27,21,23,18
EGY,5,6,1,0,1,14,11,13,12
EGY,1,2,0,0,0,5,2,3,1
EGY,0,4,0,0,0,7,7,7,6
EGY,0,1,0,0,0,4,3,4,3
EGY,0,1,0,0,0,3,2,2,2
EGY,0,2,0,0,0,3,3,3,1
EGY,0,3,0,0,0,4,4,4,3
EGY,1,3,1,1,0,7,6,6,4
EGY,2,6,1,0,0,13,11,11,11
EGY,1,17,0,0,2,13,8,11,7
EGY,0,0,0,0,0,6,6,6,6
EGY,1,5,0,0,3,4,4,4,4
EGY,0,2,0,0,0,0,0,0,0
EGY,2,18,0,0,0,12,10,11,9
EGY,0,2,1,0,1,2,1,2,1
EGY,0,0,0,0,0,2,2,2,1
EGY,1,5,1,0,0,11,11,10,8
EGY,1,6,0,1,0,12,11,12,8
EGY,2,7,2,0,0,17,15,15,14
EGY,0,1,1,0,1,12,10,10,7
EGY,1,7,0,0,1,10,9,9,7
EGY,1,2,1,0,0,9,9,8,6
EGY,1,24,1,2,0,39,36,37,32
EGY,1,26,1,2,1,36,31,31,22
EGY,0,2,0,0,0,2,1,2,1
EGY,3,13,3,0,2,32,26,28,26
EGY,5,7,0,1,0,13,10,13,9
EGY,0,8,1,0,1,9,8,10,7
EGY,3,39,1,1,1,44,38,41,30
EGY,9,73,2,6,2,112,95,94,72
EGY,3,12,1,0,0,22,20,20,19
EGY,1,9,0,0,0,8,6,7,7
EGY,1,6,1,0,2,12,11,10,9
EGY,0,0,0,0,0,7,6,7,5
EGY,0,2,0,0,0,2,2,2,2
EGY,0,1,0,0,0,2,2,2,2
EGY,0,1,0,1,0,0,0,0,0
EGY,0,3,0,0,0,8,8,8,6
EGY,1,13,1,2,0,24,21,20,18
EGY,0,8,0,0,1,17,16,16,13
EGY,0,1,0,0,0,3,3,4,4
EGY,1,3,0,0,0,8,8,8,7
EGY,0,2,2,0,0,3,2,4,2
EGY,0,6,0,0,0,4,3,3,4
EGY,0,2,0,0,0,9,8,9,7
EGY,0,3,0,0,0,5,5,5,4
EGY,2,2,0,0,0,6,6,6,4
EGY,0,4,0,0,0,10,9,10,6
EGY,0,0,0,0,0,3,0,3,0
EGY,0,1,0,0,0,10,8,10,6
EGY,0,0,0,0,0,6,6,6,6
