@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R25,50'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute MSAEGY numeric
@attribute MSAGLF numeric
@attribute MSALAV numeric
@attribute MSANOR numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric

@data
EGY,8,0,0,1,0,2,0,0,0,2,4,4,0,0,0,0,1,0,0,1,0,1,0,5,0,1,4,0,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EGY,7,0,0,2,0,2,0,0,0,0,4,5,0,1,0,0,0,0,1,0,1,0,0,0,3,4,1,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
EGY,3,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EGY,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,3,2,0,3,2,10,2,0,0,0,0,0,0,1,1,3,0,1,0,1,2,0,0,17,16,16,13,0,0,0,1,0,0,0,0,1,2,0,0,1,0,5
EGY,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,0,0,0,2,2,0,4,1,10,10,1,0,0,0,0,0,6,0,1,0,0,0,19,1,1,0,17,12,14,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
EGY,11,0,1,0,0,2,1,0,1,0,4,2,0,0,0,2,1,0,3,0,2,1,0,2,6,2,0,0,15,9,12,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3
EGY,6,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,1,13,8,10,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
EGY,5,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,1,2,0,1,0,11,3,1,1,0,0,0,0,2,0,3,1,0,0,10,0,0,0,12,7,10,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3
EGY,13,0,0,2,0,7,1,1,3,3,19,12,0,2,0,1,1,0,0,1,4,0,0,1,18,2,2,2,39,32,35,29,0,0,0,6,0,1,1,3,0,0,0,2,2,0,8
EGY,7,0,1,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,18,1,2,6,0,17,1,1,20,13,58,11,1,4,2,3,3,0,9,0,14,4,0,5,51,8,1,5,122,83,96,83,0,2,0,1,0,0,1,6,1,16,2,0,7,7,33
EGY,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,0,1,0,1,0,0,3,1,4,9,0,0,1,0,2,0,3,0,0,0,0,0,4,0,0,0,14,13,13,14,0,0,0,0,0,0,2,1,0,1,1,0,0,0,5
EGY,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,11,1,0,1,0,2,1,0,4,1,5,3,0,0,0,0,0,0,1,0,4,1,0,0,3,1,2,1,14,14,14,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4
EGY,13,0,2,0,0,3,2,0,5,3,22,9,0,0,3,0,1,0,6,1,6,3,0,2,28,4,3,0,33,32,27,23,0,0,0,0,2,0,0,0,0,4,0,0,3,2,12
EGY,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EGY,12,0,0,0,0,2,2,1,1,1,9,6,1,0,1,0,0,0,1,0,5,1,0,1,3,1,0,0,21,17,19,16,0,0,0,1,0,0,1,4,0,0,1,0,0,0,5
EGY,12,3,0,2,0,4,2,1,7,2,14,21,1,0,0,0,0,0,6,0,1,0,0,6,24,1,1,1,32,23,28,27,0,0,0,0,0,0,1,1,1,6,0,0,2,2,10
EGY,12,3,1,1,0,8,1,0,8,7,29,11,2,0,0,0,0,0,9,0,0,1,0,7,25,2,2,0,44,34,43,36,0,0,0,1,0,0,0,3,2,7,0,0,2,2,14
EGY,12,0,1,0,0,1,3,1,1,1,10,3,1,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,18,14,17,14,0,0,0,1,0,0,3,2,0,0,2,1,1,0,9
