@relation textClassifier-weka.filters.unsupervised.attribute.Remove-R26-34

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute readability numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric
@attribute typeTokenRatio numeric

@data
EGY,8,0,0,1,0,2,0,0,0,2,4,4,0,0,0,0,1,0,0,1,0,1,0,63.64383,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EGY,7,0,0,2,0,2,0,0,0,0,4,5,0,1,0,0,0,0,1,0,1,0,0,69.689188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
EGY,3,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,135.240094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75
EGY,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,27.460962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,10,0,0,0,0,3,2,0,3,2,10,2,0,0,0,0,0,0,1,1,3,0,1,119.687041,0,0,0,1,0,0,0,0,1,2,0,0,1,0,5,0.30303
EGY,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,134.247415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333
EGY,9,0,0,0,0,2,2,0,4,1,10,10,1,0,0,0,0,0,6,0,1,0,0,105.069848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.918919
EGY,11,0,1,0,0,2,1,0,1,0,4,2,0,0,0,2,1,0,3,0,2,1,0,113.992056,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1
EGY,6,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,4,0,0,0,0,107.127717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.928571
EGY,5,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,125.351128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,10,0,0,0,0,1,2,0,1,0,11,3,1,1,0,0,0,0,2,0,3,1,0,94.416257,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,1
EGY,13,0,0,2,0,7,1,1,3,3,19,12,0,2,0,1,1,0,0,1,4,0,0,57.008884,0,0,0,6,0,1,1,3,0,0,0,2,2,0,8,0.761905
EGY,7,0,1,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,127.172176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
