@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R25-34,50'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric

@data
EGY,8,0,0,1,0,2,0,0,0,2,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EGY,7,0,0,2,0,2,0,0,0,0,4,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
EGY,3,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EGY,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,3,2,0,3,2,10,2,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,5
EGY,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,0,0,0,2,2,0,4,1,10,10,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
EGY,11,0,1,0,0,2,1,0,1,0,4,2,0,0,0,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3
EGY,6,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
EGY,5,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,1,2,0,1,0,11,3,1,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3
EGY,13,0,0,2,0,7,1,1,3,3,19,12,0,2,0,1,1,0,0,1,4,0,0,0,0,0,6,0,1,1,3,0,0,0,2,2,0,8
EGY,7,0,1,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,18,1,2,6,0,17,1,1,20,13,58,11,1,4,2,3,3,0,9,0,14,4,0,0,2,0,1,0,0,1,6,1,16,2,0,7,7,33
EGY,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,0,1,0,1,0,0,3,1,4,9,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,5
EGY,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,11,1,0,1,0,2,1,0,4,1,5,3,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4
EGY,13,0,2,0,0,3,2,0,5,3,22,9,0,0,3,0,1,0,6,1,6,3,0,0,0,0,0,2,0,0,0,0,4,0,0,3,2,12
EGY,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EGY,12,0,0,0,0,2,2,1,1,1,9,6,1,0,1,0,0,0,1,0,5,1,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,5
EGY,12,3,0,2,0,4,2,1,7,2,14,21,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,1,1,6,0,0,2,2,10
EGY,12,3,1,1,0,8,1,0,8,7,29,11,2,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,3,2,7,0,0,2,2,14
EGY,12,0,1,0,0,1,3,1,1,1,10,3,1,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,3,2,0,0,2,1,1,0,9
EGY,6,0,0,0,0,2,1,0,2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3
EGY,10,0,0,2,0,3,0,0,2,4,16,9,0,0,1,0,1,0,2,0,3,0,0,0,0,0,2,0,0,2,0,1,1,1,1,2,1,10
EGY,11,0,0,0,0,1,2,4,2,0,12,8,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,8
EGY,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,5,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EGY,10,0,0,1,0,2,0,0,0,1,11,4,2,0,0,0,1,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,0,1,0,1,0,2,5,0,0,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,0,0,0,4,3,15,2,0,2,0,1,0,0,5,0,3,2,0,0,0,0,1,0,0,0,1,0,3,0,2,4,3,8
EGY,6,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
EGY,6,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,12,0,2,0,0,7,1,0,7,4,24,6,0,1,0,0,1,0,4,0,8,2,0,0,0,0,3,0,0,3,1,0,7,1,1,2,2,15
EGY,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EGY,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,11,0,0,0,0,2,1,0,3,3,11,7,0,0,1,0,1,0,2,0,4,1,0,0,0,0,1,0,0,2,2,0,1,0,1,2,1,5
EGY,13,1,0,0,0,9,4,1,11,1,34,25,1,0,1,0,1,0,8,0,4,0,0,0,0,0,2,0,0,1,2,1,8,1,0,6,2,17
EGY,14,0,1,3,0,12,1,1,9,2,13,12,0,0,7,0,4,0,2,1,3,0,0,0,0,0,7,1,0,1,2,0,7,3,0,3,5,20
EGY,7,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
EGY,8,1,1,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2
EGY,11,0,2,0,0,3,1,0,7,2,16,5,0,1,0,0,0,0,3,0,6,2,0,0,0,0,1,0,0,1,1,0,2,0,1,1,3,11
EGY,6,0,0,0,0,1,0,0,2,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EGY,11,0,0,1,0,4,1,0,3,2,9,5,0,0,1,0,1,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,2,1,0,1,1,9
EGY,12,0,1,0,0,6,1,1,2,0,17,1,2,0,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,0,2,0,2,1,9
EGY,7,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3
EGY,13,2,0,1,0,7,1,0,7,2,28,8,3,1,0,0,1,0,4,0,1,0,0,2,0,0,0,0,0,0,3,0,4,0,1,1,0,11
EGY,13,0,0,1,0,1,1,0,3,1,5,2,1,1,0,0,3,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7
EGY,10,0,1,1,0,3,0,0,3,1,13,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,1,7
EGY,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EGY,7,1,0,0,0,1,0,0,3,2,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
EGY,13,0,1,1,0,5,0,1,5,4,25,8,3,0,1,0,0,0,5,0,2,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7
EGY,12,0,0,2,0,3,1,1,1,5,13,6,1,1,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,3,1,2,0,1,2,1,7
EGY,4,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,9,0,0,0,0,0,0,0,1,3,14,6,1,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EGY,13,0,0,2,0,7,1,1,3,5,19,11,3,0,1,0,2,0,5,0,3,0,0,1,0,0,3,0,0,3,0,2,4,1,0,2,1,5
