@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-24,26-49'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute readability numeric
@attribute typeTokenRatio numeric

@data
EGY,63.64383,1
EGY,69.689188,1
EGY,135.240094,0.75
EGY,27.460962,1
EGY,119.687041,0.30303
EGY,134.247415,0.833333
EGY,105.069848,0.918919
EGY,113.992056,1
EGY,107.127717,0.928571
EGY,125.351128,1
EGY,94.416257,1
EGY,57.008884,0.761905
EGY,127.172176,1
EGY,50.976139,0.274621
EGY,81.496134,0.45
EGY,104.424133,0.396552
EGY,121.141698,1
EGY,93.959905,1
EGY,141.675147,0.461538
EGY,48.560471,0.842857
EGY,142.322773,1
EGY,35.158043,0.935484
EGY,63.118076,0.892308
EGY,20.919626,0.847059
EGY,76.033407,0.833333
EGY,94.590485,0.923077
EGY,64.838646,0.8
EGY,90.335257,0.439024
EGY,172.549566,1
EGY,138.414151,1
EGY,104.45,0.469697
EGY,135.173132,1
EGY,63.629846,0.853659
EGY,156.398849,1
EGY,103.587837,1
EGY,35.432086,0.811594
EGY,120.126698,1
EGY,155.784613,0.35
EGY,90.521808,0.871795
EGY,92.680382,0.208333
EGY,41.001339,0.772152
EGY,115.678555,1
EGY,105.9911,1
EGY,114.797948,0.207547
EGY,119.28001,1
EGY,98.789377,0.96875
EGY,59.233513,0.95
EGY,118.096698,1
EGY,39.4121,0.783784
EGY,116.864568,0.27957
EGY,124.22106,0.152381
EGY,154.39861,1
EGY,143.707756,1
EGY,55.956143,0.83871
EGY,37.198646,0.948718
EGY,108.662837,1
EGY,83.675981,0.90625
EGY,87.87702,0.275556
EGY,117.104019,1
EGY,92.512329,0.944444
EGY,109.805921,0.12218
EGY,127.85466,1
EGY,57.672874,1
EGY,49.612396,1
EGY,19.570679,0.814433
EGY,58.211351,0.833333
EGY,39.185148,0.822581
EGY,64.153908,0.980392
EGY,100.572807,0.185714
EGY,165.504088,1
EGY,61.206393,0.941176
EGY,65.281792,0.928571
EGY,85.726416,0.953488
EGY,147.114419,0.9
EGY,106.573316,1
EGY,135.897114,0.107143
EGY,99.95773,0.277778
EGY,109.887415,0.8
EGY,129.194736,0.470588
EGY,130.75475,1
EGY,132.217415,1
EGY,150.368371,1
EGY,74.80883,1
EGY,74.570117,1
EGY,108.961698,1
EGY,100.937183,0.96
EGY,78.858688,0.918919
EGY,117.104019,1
EGY,101.325456,0.842105
EGY,178.594924,1
EGY,59.131729,0.947368
EGY,152.189419,1
EGY,148.368132,1
EGY,111.412478,0.954545
EGY,107.599302,0.870968
EGY,89.761282,0.870968
EGY,102.598163,1
EGY,97.841339,0.958333
EGY,131.870425,0.818182
EGY,68.674026,0.452703
EGY,116.59794,0.123932
EGY,114.232717,0.857143
EGY,55.470512,0.962264
EGY,97.296888,0.323232
EGY,113.383365,0.186667
EGY,128.832892,0.101839
EGY,199.776,0.046209
EGY,131.202728,0.444444
EGY,100.022717,0.714286
EGY,76.929155,0.891892
EGY,92.243438,1
EGY,146.338132,1
EGY,135.023702,1
EGY,28.475962,1
EGY,103.975981,1
EGY,78.131968,0.909091
EGY,87.318076,0.933333
EGY,122.156698,1
EGY,113.836573,0.85
EGY,105.9911,1
EGY,132.187654,1
EGY,116.911808,1
EGY,110.842268,1
EGY,130.187415,1
EGY,128.500917,0.8
EGY,154.41349,0.5
EGY,78.27564,0.941176
EGY,96.810938,0.5
EGY,108.364394,1
EGY,166.050075,1
EGY,121.141698,1
EGY,102.767862,0.090909
EGY,114.036698,1
EGY,88.046949,0.823529
EGY,148.368132,1
EGY,99.767176,0.888889
EGY,84.899308,1
EGY,47.482971,0.170968
EGY,67.099357,0.977273
EGY,99.239724,0.842105
EGY,63.309769,0.178571
EGY,101.904441,0.92
EGY,30.257194,0.703704
EGY,115.61872,0.454545
EGY,141.093242,1
EGY,164.399492,0.111111
EGY,86.305327,1
EGY,89.914786,1
EGY,129.194736,1
EGY,143.293132,1
EGY,173.564566,1
EGY,97.065053,1
EGY,106.573316,0.933333
EGY,110.021339,1
EGY,103.891825,1
EGY,137.441845,1
EGY,89.010154,1
EGY,120.205727,0.947368
EGY,124.525031,0.333333
EGY,134.95966,1
EGY,60.717874,1
EGY,108.424124,1
EGY,132.605558,0.666667
EGY,88.303177,1
EGY,132.172773,0.448276
EGY,132.217415,0.5
EGY,77.369588,0.906977
EGY,120.632029,0.067908
EGY,95.476328,0.965517
EGY,92.416506,0.947368
EGY,118.335411,1
EGY,76.213224,0.933333
EGY,108.854962,0.636364
EGY,97.975264,1
EGY,199.776,0.893939
EGY,128.155488,0.152381
EGY,130.232056,1
EGY,88.50364,1
EGY,86.87062,0.777778
EGY,87.735981,0.685714
EGY,149.550853,0.5
EGY,72.943773,0.118135
EGY,83.502623,0.434211
EGY,112.433341,0.121065
EGY,199.776,0.764706
EGY,93.945025,0.833333
EGY,74.51122,0.467391
EGY,99.353875,0.483333
EGY,101.355902,0.116012
EGY,108.055798,0.913043
EGY,51.404308,0.894737
EGY,124.352249,1
EGY,101.990622,1
EGY,86.869786,1
EGY,87.407568,0.888889
EGY,118.141339,1
EGY,51.478562,1
EGY,95.736937,0.972222
